Risk ID,Care Context,Actor,Asset,Threat/Risk Description,Security Category,Privacy Category,Likelihood,Impact,Existing Control,Control Gap,Recommended Safeguard,Relevant Paper
R001,Emergency Department,Emergency clinician,Full patient record,Break-glass access is used without adequate justification,Access control,Over-disclosure,Medium,High,Audit logs,Weak real-time monitoring,Require reason codes and post-access review,Article 1 and 3
R002,Ambulance Service,Paramedic,Medication and allergy record,Patient record accessed on mobile device that is lost or compromised,Device security,Confidentiality breach,Medium,High,Device authentication,Mobile endpoint exposure,Mobile device management and session timeout,Article 1 and 3
R003,Walk-in Clinic,Temporary clinician,Summary care information,Temporary staff retain access beyond clinical need,Identity lifecycle,Excessive access,Medium,Medium,Role-based access,Weak time-limited access,Time-bound access permissions,Article 2 and 3
R004,Specialist Provider,Specialist clinician,Full longitudinal record,Specialist sees unrelated sensitive history not needed for care,Authorisation,Data minimisation,High,Medium,Role-based access,Lack of record segmentation,Context-aware record views,Article 1 and 3
R005,GP Surgery,GP,Hospital discharge data,Incorrect or outdated hospital information is relied on during GP consultation,Data integrity,Patient harm through inaccurate data,Medium,High,Record provenance,Weak data-quality flagging,Data provenance and update timestamps,Article 1
R006,Secondary Care,Supplier or system administrator,Shared record platform,Privileged account is misused or compromised,Privileged access,Large-scale disclosure,Low,Very High,Admin controls,Third-party exposure,Privileged access monitoring and supplier assurance,Article 1 and 3
R007,Any setting,Curious insider,Patient record,Staff member accesses record without care relationship,Insider threat,Confidentiality invasion,Medium,High,Audit logging,Reactive detection,Anomaly detection and sanctions policy,Article 2 and 3
R008,Any setting,Patient,Access transparency,Patient cannot see who accessed their record,Accountability,Unawareness,Medium,Medium,Subject access rights,Low proactive transparency,Patient-facing access history,Article 2
R009,Any setting,Clinician or administrator,Patient identity record,Identity matching error causes the wrong patient record to be accessed,Identity management,Wrong-patient disclosure,Medium,High,Patient demographic matching,Weak identity verification,Strengthen patient matching and confirmation checks,Article 1 and 3
R010,Any setting,Clinician,Complete patient record,Clinician accesses more record sections than needed for the care context,Access control,Over-disclosure,High,Medium,Role-based access,Broad record visibility,Apply context-aware and minimum-necessary access,Article 1 and 3
R011,Shared record infrastructure,Supplier or external attacker,Shared record platform,Supplier-side compromise exposes shared record infrastructure,Supplier security,Large-scale confidentiality breach,Low,Very High,Supplier assurance,Limited continuous monitoring,Require supplier security assurance and monitoring,Article 1 and 3
R012,Any setting,Governance or audit team,Audit logs,Audit logs exist but are not actively reviewed,Monitoring,Weak accountability,Medium,High,Audit logging,Lack of proactive review,Introduce routine and anomaly-based audit review,Article 1 and 3
R013,Any setting,Healthcare organisation,Patient sharing preferences,Patient objections or sharing preferences are not clearly respected,Information governance,Autonomy and transparency risk,Medium,High,Consent and objection policies,Unclear operational enforcement,Record and enforce patient preferences clearly,Article 2 and 3
R014,Mental health or safeguarding context,Clinician,Sensitive patient information,Sensitive records such as mental health safeguarding or reproductive health are overexposed,Record segmentation,Sensitive data over-disclosure,Medium,High,Role-based access,Lack of sensitivity-based controls,Apply segmented access for highly sensitive record categories,Article 1 and 3
R015,GP and secondary care interface,Clinician or system,Imported clinical data,Data from one provider is copied into another system without provenance or update status,Data integrity,Incorrect or misleading data use,Medium,High,Record timestamps,Weak provenance metadata,Add provenance source and update-status indicators,Article 1 and 3
