Source,Year,Jurisdiction,Document Type,URL or DOI,Relevance to Project,Key Point,Security Issue,Privacy Issue,Governance Issue,Article Use,Category
Shared care records (NHS England),N/A,England,NHS policy/guidance webpage,https://www.england.nhs.uk/long-read/shared-care-records/,Core framing source on what NHS shared care records are across local geographies and care settings.,"Shared care records combine important, up-to-date information from multiple health and care organisations for direct care.",Secure cross-organisational access to current records.,Multi-source patient information visibility.,Local shared record governance across ICS/local partners.,Use as the baseline NHS definition of shared care records.,Policy/governance
Shared care records – development and delivery (NHS England),N/A,England,NHS guidance webpage,https://www.england.nhs.uk/digitaltechnology/connecteddigitalsystems/shared-care-records-development-and-delivery/,Directly useful for distinguishing shared care records from SCR and for deployment framing.,Shared care records contain much more information than SCR and are sourced from multiple care organisations.,Cross-provider data aggregation risk surface.,Broader visibility than GP-only summaries.,Delivery model for local shared record implementation.,Use to justify why near-complete records create different risk questions from SCR.,Policy/governance
Information Governance Framework: Shared Care Records (NHS Transformation Directorate),2026,England,NHS information governance guidance,https://transform.england.nhs.uk/information-governance/guidance/summary-of-information-governance-framework-shared-care-records/,"Central governance source for lawful, secure operation of shared care records.",Shared care records require explicit IG arrangements for safe and secure information sharing.,Information security controls for shared platforms.,Lawful sharing and transparency.,Joint governance and assurance expectations.,Use to anchor the governance architecture for cross-provider access.,Policy/governance
Information Governance Framework for Integrated Health and Care: Shared Care Records (NHS Transformation Directorate),2026 / N/A,England,NHS IG framework,https://transform.england.nhs.uk/information-governance/guidance/summary-of-information-governance-framework-shared-care-records/information-governance-framework-for-integrated-health-and-care-shared-care-records/,"Detailed framework for controller relationships, rights, breach management and assurance.",Shared care records move systems from separate records toward system-wide shared records.,Breach management and system assurance.,"Individual rights, transparency, minimisation.","Joint controllers, assurance checklist, governance design.",Use for your governance and accountability section.,Policy/governance
The Caldicott Principles (GOV.UK),2020,England,NDG guidance,https://www.gov.uk/government/publications/the-caldicott-principles,Foundational ethical-governance source for confidential patient information sharing.,"Confidential information should be used only when necessary, minimally, and with justified access, while duty to share can support better care.",Need-to-know access discipline.,Confidentiality and proportionality.,Ethical information-sharing governance.,Use as the normative lens for evaluating complete-record access.,Policy/governance
"National Data Guardian guidance on the appointment of Caldicott Guardians, their role and responsibilities (GOV.UK)",2021,England,NDG guidance,https://www.gov.uk/government/publications/national-data-guardian-guidance-on-the-appointment-of-caldicott-guardians-their-role-and-responsibilities,Important for accountability and oversight in multi-organisation record sharing.,Caldicott Guardians are senior leads for the ethical and legal aspects of data sharing.,Oversight of inappropriate access and disclosure.,Confidentiality stewardship.,Senior governance role allocation.,Use to support recommendations on local accountability structures.,Policy/governance
Data saves lives: reshaping health and social care with data (GOV.UK),2022,England,DHSC strategy,https://www.gov.uk/government/publications/data-saves-lives-reshaping-health-and-social-care-with-data/data-saves-lives-reshaping-health-and-social-care-with-data,"Strategic context for connected data, trust and safe use across health and care.",The strategy explicitly links better data use with the need to reassure the public that data will be handled safely and ethically.,Secure data use at scale.,Public trust and transparency.,National strategic direction for data sharing.,Use for policy context and public trust framing.,Policy/governance
Regulation (EU) 2016/679 / UK GDPR contents (Legislation.gov.uk),N/A,UK,Legislation,https://www.legislation.gov.uk/eur/2016/679/contents,Primary legal framework for personal data processing in the UK.,"UK GDPR sets core principles, lawful bases, accountability, and data subject rights.",Security of processing under Article 32.,"Lawfulness, fairness, transparency, minimisation.",Controller accountability.,Use as the umbrella legal framework.,Legal/regulatory
UK GDPR Article 9 (Legislation.gov.uk),N/A,UK,Legislation,https://www.legislation.gov.uk/eur/2016/679/article/9,Directly relevant because health data is special category data.,Processing health data is prohibited unless an Article 9 condition applies.,Sensitive-data handling safeguards.,Elevated protection for health data.,Extra legal threshold for processing.,Use to explain why complete shared records need heightened justification.,Legal/regulatory
Data Protection Act 2018 contents (Legislation.gov.uk),2018,UK,Legislation,https://www.legislation.gov.uk/ukpga/2018/12/contents,Supplements UK GDPR in UK law and is critical for health/social care processing conditions.,DPA 2018 tailors UK GDPR and adds Schedule 1 conditions and safeguards.,Statutory safeguards for sensitive processing.,Special-category processing conditions.,Domestic legal basis and safeguards.,Use alongside UK GDPR for the legal analysis.,Legal/regulatory
